,tconst,primary_title,runtime_minutes,genres,release_date,production_budget,domestic_gross,worldwide_gross,total_profit
10,tt2293640,Minions,91.0,"Adventure,Animation,Comedy","Jul 10, 2015",74000000,336045770,1160336173,1086336173
16,tt3469046,Despicable Me 3,89.0,"Adventure,Animation,Comedy","Jun 30, 2017",75000000,264624300,1034727750,959727750
21,tt1690953,Despicable Me 2,98.0,"Adventure,Animation,Comedy","Jul 3, 2013",76000000,368065385,975216835,899216835
24,tt2283362,Jumanji: Welcome to the Jungle,119.0,"Action,Adventure,Comedy","Dec 20, 2017",90000000,404508916,964496193,874496193
25,tt2948356,Zootopia,108.0,"Adventure,Animation,Comedy","Mar 4, 2016",150000000,341268248,1019429616,869429616
26,tt0435761,Toy Story 3,103.0,"Adventure,Animation,Comedy","Jun 18, 2010",200000000,415004880,1068879522,868879522
30,tt2277860,Finding Dory,97.0,"Adventure,Animation,Comedy","Jun 17, 2016",200000000,486295561,1021215193,821215193
31,tt2709768,The Secret Life of Pets,87.0,"Adventure,Animation,Comedy","Jul 8, 2016",75000000,368384330,886750534,811750534
34,tt1667889,Ice Age: Continental Drift,88.0,"Adventure,Animation,Comedy","Jul 13, 2012",95000000,161321843,879765137,784765137
36,tt1431045,Deadpool,108.0,"Action,Adventure,Comedy","Feb 12, 2016",58000000,363070709,801025593,743025593
43,tt5463162,Deadpool 2,119.0,"Action,Adventure,Comedy","May 18, 2018",110000000,324591735,786680557,676680557
46,tt3501632,Thor: Ragnarok,130.0,"Action,Adventure,Comedy","Nov 3, 2017",180000000,315058289,846980024,666980024
54,tt1277953,Madagascar 3: Europe's Most Wanted,93.0,"Adventure,Animation,Comedy","Jun 8, 2012",145000000,216391482,746921271,601921271
55,tt2015381,Guardians of the Galaxy,121.0,"Action,Adventure,Comedy","Aug 1, 2014",170000000,333172112,770867516,600867516
57,tt0892791,Shrek Forever After,93.0,"Adventure,Animation,Comedy","May 21, 2010",165000000,238736787,756244673,591244673
62,tt3470600,Sing,108.0,"Animation,Comedy,Family","Dec 21, 2016",75000000,270329045,634454789,559454789
67,tt1453405,Monsters University,104.0,"Adventure,Animation,Comedy","Jun 21, 2013",200000000,268488329,743588329,543588329
74,tt1411697,The Hangover Part II,102.0,"Comedy,Mystery","May 26, 2011",80000000,254464305,586464305,506464305
75,tt1637725,Ted,106.0,"Comedy,Fantasy","Jun 29, 2012",50000000,218665740,556016627,506016627
81,tt5095030,Ant-Man and the Wasp,118.0,"Action,Adventure,Comedy","Jul 6, 2018",130000000,216648740,623144660,493144660
84,tt1483010,Logan,94.0,"Comedy,Drama,Family","Mar 3, 2017",127000000,226277068,615461394,488461394
85,tt3521164,Moana,107.0,"Adventure,Animation,Comedy","Nov 23, 2016",150000000,248757044,637517365,487517365
87,tt6139732,Aladdin,128.0,"Adventure,Comedy,Family","Nov 11, 1992",28000000,217350219,504050219,476050219
89,tt1323594,Despicable Me,95.0,"Animation,Comedy,Family","Jul 9, 2010",69000000,251513985,543464573,474464573
91,tt5220122,Hotel Transylvania 3: Summer Vacation,97.0,"Adventure,Animation,Comedy","Jul 13, 2018",65000000,167500092,527079962,462079962
92,tt0472181,The Smurfs,103.0,"Adventure,Animation,Comedy","Jul 29, 2011",110000000,142614158,563749323,453749323
97,tt1409024,Men in Black 3,106.0,"Action,Adventure,Comedy","May 25, 2012",215000000,179020854,654213485,439213485
104,tt3783958,La La Land,128.0,"Comedy,Drama,Music","Dec 9, 2016",20000000,151101803,426351163,406351163
105,tt3375556,Iron Man,84.0,"Comedy,Drama,Family","May 2, 2008",186000000,318604126,585171547,399171547
111,tt2510894,Hotel Transylvania 2,89.0,"Animation,Comedy,Family","Sep 25, 2015",80000000,169700110,469500298,389500298
112,tt0478970,Ant-Man,117.0,"Action,Adventure,Comedy","Jul 17, 2015",130000000,180202163,518858449,388858449
115,tt3874544,The Boss Baby,97.0,"Adventure,Animation,Comedy","Mar 31, 2017",125000000,175003033,510878762,385878762
125,tt2357291,Rio 2,101.0,"Adventure,Animation,Comedy","Apr 11, 2014",130000000,131538435,492846291,362846291
126,tt1216475,Cars 2,106.0,"Adventure,Animation,Comedy","Jun 24, 2011",200000000,191450875,560155383,360155383
127,tt1291150,Teenage Mutant Ninja Turtles,101.0,"Action,Adventure,Comedy","Aug 8, 2014",125000000,191204754,485004754,360004754
141,tt1772341,Wreck-It Ralph,101.0,"Adventure,Animation,Comedy","Nov 2, 2012",165000000,189412677,496511521,331511521
143,tt0398286,Tangled,100.0,"Adventure,Animation,Comedy","Nov 24, 2010",260000000,200821936,586477240,326477240
152,tt2802144,Kingsman: The Secret Service,129.0,"Action,Adventure,Comedy","Feb 13, 2015",94000000,128261724,404561724,310561724
